SchoolYear,Sector,SubSector,ulcscode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2023-2024,District,District,1010,John Bartram High School,Network 13,09,158,24,15.19,134,84.81,40,25.32,118,74.68,72,45.57,86,54.43,0,0.00,6,3.80,121,76.58,25,15.82,6,3.80,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,10,145,40,27.59,105,72.41,34,23.45,111,76.55,64,44.14,80,55.17,0,0.00,4,2.76,103,71.03,33,22.76,5,3.45,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,11,111,23,20.72,88,79.28,29,26.13,82,73.87,51,45.95,60,54.05,0,0.00,4,3.60,91,81.98,11,9.91,4,3.60,0,0.00,1,0.90,
2023-2024,District,District,1010,John Bartram High School,Network 13,12,112,27,24.11,85,75.89,26,23.21,86,76.79,54,48.21,58,51.79,0,0.00,4,3.57,90,80.36,17,15.18,1,0.89,0,0.00,0,0.00,
2023-2024,District,District,1010,John Bartram High School,Network 13,All Grades,526,114,21.67,412,78.33,129,24.52,397,75.48,241,45.82,284,53.99,0,0.00,18,3.42,405,77.00,86,16.35,16,3.04,0,0.00,1,0.19,100.00
2023-2024,District,District,1020,West Philadelphia High School,Network 13,09,196,12,6.12,184,93.88,55,28.06,141,71.94,103,52.55,93,47.45,1,0.51,4,2.04,171,87.24,9,4.59,9,4.59,0,0.00,1,0.51,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,10,164,7,4.27,157,95.73,42,25.61,122,74.39,73,44.51,91,55.49,1,0.61,1,0.61,148,90.24,8,4.88,2,1.22,0,0.00,3,1.83,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,11,143,7,4.90,136,95.10,59,41.26,84,58.74,57,39.86,86,60.14,1,0.70,1,0.70,127,88.81,6,4.20,7,4.90,0,0.00,0,0.00,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,12,98,4,4.08,94,95.92,46,46.94,52,53.06,42,42.86,56,57.14,0,0.00,0,0.00,84,85.71,3,3.06,9,9.18,0,0.00,2,2.04,
2023-2024,District,District,1020,West Philadelphia High School,Network 13,All Grades,601,30,4.99,571,95.01,202,33.61,399,66.39,275,45.76,326,54.24,3,0.50,6,1.00,530,88.19,26,4.33,27,4.49,0,0.00,6,1.00,100.00
