zip,name,naics,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,city,stabbr,cty_name
15001,"ALIQUIPPA, PA",611///,3,N,N,N,N,N,N,N,N,N,ALIQUIPPA,PA,BEAVER
15001,"ALIQUIPPA, PA",813///,36,20,11,3,N,N,N,N,N,N,ALIQUIPPA,PA,BEAVER
15003,"AMBRIDGE, PA",611///,4,3,N,N,N,N,N,N,N,N,AMBRIDGE,PA,BEAVER
15003,"AMBRIDGE, PA",813///,25,19,5,N,N,N,N,N,N,N,AMBRIDGE,PA,BEAVER
15005,"BADEN, PA",611///,3,N,N,N,N,N,N,N,N,N,BADEN,PA,BEAVER
15005,"BADEN, PA",813///,12,5,5,N,N,N,N,N,N,N,BADEN,PA,BEAVER
15007,"BAKERSTOWN, PA",813///,3,N,N,3,N,N,N,N,N,N,BAKERSTOWN,PA,ALLEGHENY
15009,"BEAVER, PA",611///,6,N,N,N,N,N,N,N,N,N,BEAVER,PA,BEAVER
15009,"BEAVER, PA",813///,26,17,5,N,N,N,N,N,N,N,BEAVER,PA,BEAVER
15010,"BEAVER FALLS, PA",611///,12,7,N,N,N,N,N,N,N,N,BEAVER FALLS,PA,BEAVER
15010,"BEAVER FALLS, PA",813///,33,19,7,N,4,N,N,N,N,N,BEAVER FALLS,PA,BEAVER
15012,"BELLE VERNON, PA",611///,5,4,N,N,N,N,N,N,N,N,BELLE VERNON,PA,FAYETTE
15012,"BELLE VERNON, PA",813///,12,11,N,N,N,N,N,N,N,N,BELLE VERNON,PA,FAYETTE
15014,"BRACKENRIDGE, PA",813///,4,N,N,N,N,N,N,N,N,N,BRACKENRIDGE,PA,ALLEGHENY
15017,"BRIDGEVILLE, PA",611///,15,7,4,N,3,N,N,N,N,N,BRIDGEVILLE,PA,ALLEGHENY
15017,"BRIDGEVILLE, PA",813///,20,14,3,N,3,N,N,N,N,N,BRIDGEVILLE,PA,ALLEGHENY
15021,"BURGETTSTOWN, PA",813///,6,5,N,N,N,N,N,N,N,N,BURGETTSTOWN,PA,WASHINGTON
15022,"CHARLEROI, PA",813///,18,14,N,N,N,N,N,N,N,N,CHARLEROI,PA,WASHINGTON
15024,"CHESWICK, PA",813///,10,4,3,N,N,N,N,N,N,N,CHESWICK,PA,ALLEGHENY
15025,"CLAIRTON, PA",611///,4,3,N,N,N,N,N,N,N,N,CLAIRTON,PA,ALLEGHENY
15025,"CLAIRTON, PA",813///,12,9,N,N,N,N,N,N,N,N,CLAIRTON,PA,ALLEGHENY
15026,"CLINTON, PA",813///,4,3,N,N,N,N,N,N,N,N,CLINTON,PA,BEAVER
15027,"CONWAY, PA",813///,3,N,N,N,N,N,N,N,N,N,CONWAY,PA,BEAVER
15033,"DONORA, PA",813///,3,3,N,N,N,N,N,N,N,N,DONORA,PA,WASHINGTON
