School Year,Sector,ULCS Code,School Name,Average Daily Attendance (YTD)
2022-2023,District,1010,John Bartram High School,77.27
2022-2023,District,1020,West Philadelphia High School,80.34
2022-2023,District,1030,High School of the Future,84.49
2022-2023,District,1050,Paul Robeson High School for Human Services,91.50
2022-2023,District,1100,William L. Sayre High School,82.52
2022-2023,District,1130,William T. Tilden School,92.15
2022-2023,District,1190,Motivation High School,92.66
2022-2023,District,1200,John Barry School,82.96
2022-2023,District,1230,William C. Bryant School,84.62
2022-2023,District,1250,Joseph W. Catharine School,91.13
2022-2023,District,1260,Benjamin B. Comegys School,82.81
2022-2023,District,1280,Sadie Alexander School,96.69
2022-2023,District,1290,Andrew Hamilton School,86.80
2022-2023,District,1300,Avery D. Harrington School,88.48
2022-2023,District,1340,Henry C. Lea School,91.38
2022-2023,District,1350,William C. Longstreth School,87.14
2022-2023,District,1360,Morton McMichael School,85.03
2022-2023,District,1370,S. Weir Mitchell School,82.31
2022-2023,District,1380,Thomas G. Morton School,88.95
2022-2023,District,1390,Samuel Powel School,93.29
2022-2023,District,1400,John M. Patterson School,89.04
2022-2023,District,1410,James Rhoads School,84.30
2022-2023,District,1420,Martha Washington School,86.30
2022-2023,District,1440,Penrose School,86.07
2022-2023,District,1460,Add B. Anderson School,86.29
2022-2023,District,1470,Alain Locke School,87.21
2022-2023,District,1490,Rudolph Blankenburg School,85.49
2022-2023,District,1580,Middle Years Alternative School,91.44
2022-2023,District,2000,South Philadelphia High School,78.07
2022-2023,District,2010,Benjamin Franklin High School,80.47
2022-2023,District,2020,High School for Creative and Performing Arts,92.84
2022-2023,District,2050,Science Leadership Academy Middle School,97.47
2022-2023,District,2140,Julia R. Masterman School,96.52
2022-2023,District,2160,Furness High School,83.79
2022-2023,District,2190,D. Newlin Fell School,90.94
2022-2023,District,2210,Bache-Martin School,91.17
2022-2023,District,2240,F. Amedee Bregy School,88.71
2022-2023,District,2260,George W. Childs School,90.12
2022-2023,District,2290,Franklin Learning Center,88.18
2022-2023,District,2320,Stephen Girard School,87.25
2022-2023,District,2340,General George A. McCall School,95.87
2022-2023,District,2370,Delaplaine McDaniel School,83.47
2022-2023,District,2380,William M. Meredith School,95.77
2022-2023,District,2390,Robert Morris School,87.57
2022-2023,District,2410,Girard Academic Music Program,95.50
2022-2023,District,2450,Edwin M. Stanton School,90.20
2022-2023,District,2470,Albert M. Greenfield School,95.23
2022-2023,District,2480,Chester A. Arthur School,92.65
2022-2023,District,2490,Laura W. Waring School,84.52
2022-2023,District,2510,Fanny Jackson Coppin School,94.70
2022-2023,District,2520,Abram S. Jenks School,94.03
2022-2023,District,2540,Francis S. Key School,90.74
2022-2023,District,2580,Eliza B. Kirkbride School,94.76
2022-2023,District,2590,George W. Nebinger School,93.56
2022-2023,District,2620,Academy at Palumbo,94.95
2022-2023,District,2630,George W. Sharswood School,90.20
2022-2023,District,2640,Southwark School,94.06
2022-2023,District,2650,Science Leadership Academy,94.32
2022-2023,District,2670,Constitution High School,87.81
2022-2023,District,2680,The Science Leadership Academy at Beeber,94.17
2022-2023,District,2690,John H. Taggart School,92.20
2022-2023,District,2720,Vare-Washington School,92.63
2022-2023,District,4020,Overbrook High School,76.18
2022-2023,District,4030,High School of Engineering and Science,94.34
2022-2023,District,4060,Murrell Dobbins Career and Technical High School,78.62
2022-2023,District,4140,Strawberry Mansion High School,75.02
2022-2023,District,4220,James G. Blaine School,83.94
2022-2023,District,4240,Lewis C. Cassidy Academics Plus School,85.93
2022-2023,District,4270,William Dick School,83.38
2022-2023,District,4280,Samuel Gompers School,90.70
2022-2023,District,4300,Edward Heston School,84.07
2022-2023,District,4320,Robert E. Lamberton School,87.05
2022-2023,District,4350,E. Washington Rhodes School,84.69
2022-2023,District,4360,Kenderton Elementary School,84.85
2022-2023,District,4370,Overbrook Elementary School,88.04
2022-2023,District,4380,Thomas M. Peirce School,86.36
2022-2023,District,4440,Dr. Ethel Allen School,83.13
2022-2023,District,4460,Tanner G. Duckrey School,83.46
2022-2023,District,4470,Richard R. Wright School,85.49
2022-2023,District,4480,Overbrook Educational Center,93.96
2022-2023,District,4530,Edward Gideon School,83.92
2022-2023,District,4560,William D. Kelley School,90.35
2022-2023,District,4570,General George G. Meade School,83.88
2022-2023,District,5020,Thomas A. Edison High School,72.64
2022-2023,District,5050,Philadelphia Military Academy,84.82
2022-2023,District,5060,Jules E. Mastbaum Area Vocational Technical High School,79.95
2022-2023,District,5070,Parkway Northwest High School,92.63
2022-2023,District,5080,Parkway Center City Middle College High School,93.60
2022-2023,District,5090,Parkway West High School,85.92
2022-2023,District,5150,William W. Bodine High School,92.75
2022-2023,District,5160,Penn Treaty High School,78.84
2022-2023,District,5170,Julia de Burgos School,86.22
2022-2023,District,5180,Vaux High School: A Big Picture,82.80
2022-2023,District,5200,Alexander Adaire School,94.80
2022-2023,District,5210,Henry A. Brown School,89.72
2022-2023,District,5230,Russell H. Conwell School,92.35
2022-2023,District,5250,Paul L. Dunbar School,86.89
2022-2023,District,5260,Lewis Elkin School,85.55
2022-2023,District,5300,Horatio B. Hackett School,92.23
2022-2023,District,5320,John F. Hartranft School,84.13
2022-2023,District,5330,William H. Hunter School,86.80
2022-2023,District,5340,James R. Ludlow School,87.56
2022-2023,District,5350,William McKinley School,85.35
2022-2023,District,5370,John Moffet School,91.64
2022-2023,District,5390,Potter-Thomas School,85.10
2022-2023,District,5400,Richmond School,87.36
2022-2023,District,5410,Isaac A. Sheppard School,89.06
2022-2023,District,5420,John Welsh School,87.84
2022-2023,District,5430,Alternative Middle Years at James Martin,90.04
2022-2023,District,5440,Frances E. Willard School,86.65
2022-2023,District,5470,William Cramp School,86.90
2022-2023,District,5480,General Philip Kearny School,87.96
2022-2023,District,5490,Cayuga School,90.53
2022-2023,District,5500,Thurgood Marshall School,87.38
2022-2023,District,5520,Kensington High School for Creative and Performing Arts,76.32
2022-2023,District,5530,Gloria Casarez Elementary School,87.81
2022-2023,District,5550,Kensington Health Sciences Academy,83.89
2022-2023,District,5560,Spring Garden School,89.01
2022-2023,District,5580,"Stetson, John B. Middle School",89.14
2022-2023,District,5590,John H. Webster School,86.36
2022-2023,District,5610,Building 21,91.30
2022-2023,District,5620,The U School,81.22
2022-2023,District,5660,The LINC,86.14
2022-2023,District,5680,Honorable Luis Munoz-Marin School,87.84
